username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
AamirSattarPTi,"Nokia bags 100G optical core deployment contract from Reliance Jio #ETTelecom  https://t.co/ypS3zxv11E",Reliance,NULL,NULL,"2017-03-22 23:32:21",1490526652
isumitksinha,"Reliance Jio is the fastest-growing IT company in the world: Mukesh Ambani https://t.co/s5VrVIrmhW",Reliance,NULL,NULL,"2017-03-22 23:29:25",1490526653
sharebossindia,"RPower promoter group entity sells shares worth Rs 858 crore.. https://t.co/mE7CzwKc8D",Reliance,NULL,NULL,"2017-03-22 23:26:49",1490526653
davyousafnv,"Reliance Jio is the fastest-growing IT company in the world: Mukesh Ambani https://t.co/lHgGP3Rjdd https://t.co/TWRKfVskiq",Reliance,NULL,NULL,"2017-03-22 23:00:50",1490526653
hypermkts_super,"#MyTokri Upcoming Reliance Jio lyf Rs.999 4g Volte Smartphone. Read Blog: https://t.co/IOpKwDpIGS",Reliance,NULL,NULL,"2017-03-22 23:00:38",1490526653
rpower,"RT @FMBKendal: Meet Jordan Gray, the latest addition to the FMB team who joined us on Monday. He will be working within our Client Services…",Reliance,NULL,NULL,"2017-03-22 22:53:08",1490526653
nternet_in,"Airtel  vs Reliance Jio: Ookla stands by network speed test, admits some limitations - https://t.co/j4ZxJmTrw0 https://t.co/tyA8iPiZHg",Reliance,NULL,NULL,"2017-03-22 22:45:54",1490526653
jkkansal1987,"seems you were heard. ;) are you using dual sim android phone?
https://t.co/WMZ2fXkzuv
#RelJio #Airtel https://t.co/DOWnVgAQUl",Reliance,NULL,NULL,"2017-03-22 22:41:33",1490526653
rpower,"RT @RAF_IFA: It was March 1979 that Airey Neave was murdered by the IRA, in another #WestminsterAttack.  

Those bastards didn't win either…",Reliance,NULL,NULL,"2017-03-22 22:41:24",1490526653
TechWireAsia,"#Vodafone, #IdeaCellular pair up #Indian operations to fight off rival Reliance Jio https://t.co/vKQCND8Hov https://t.co/8uJmSKggu8",Reliance,NULL,NULL,"2017-03-22 22:30:01",1490526653
ToGovern,"RT @VonyaGlobal: The latest Internal Audit Daily! https://t.co/Lx1nk2l01y Thanks to @ei_rpower @JJKellerHR @LetradaGallur #compliance #corp…",Reliance,NULL,NULL,"2017-03-22 22:23:05",1490526653
VonyaGlobal,"The latest Internal Audit Daily! https://t.co/Lx1nk2l01y Thanks to @ei_rpower @JJKellerHR @LetradaGallur #compliance #corpgov",Reliance,NULL,NULL,"2017-03-22 22:18:27",1490526653
mannuforall,"Nokia wins 100G optical network deal from Reliance Jio https://t.co/1uMq4IynZl",Reliance,NULL,NULL,"2017-03-22 22:09:04",1490526653
bolly_hollywood,"Reliance Jio 4G Sim Card: Most Frequently Asked Question FAQ Online https://t.co/hvMfXw3LYp",Reliance,NULL,NULL,"2017-03-22 21:44:15",1490526654
thevoiceoftrust,"82% users willing to continue with Reliance Jio post free offers, indicates survey https://t.co/6BRzFuTvBO https://t.co/M6G4ocnFNb",Reliance,NULL,NULL,"2017-03-22 21:20:08",1490526654
SleimanSkaf,"RT @Forbes: Vodafone India combines with Idea Cellular in a $23 billion deal to become the biggest carrier in India https://t.co/JbgmDSTxI8…",Reliance,NULL,NULL,"2017-03-22 21:05:13",1490526654
quickfindseotip,"LYF FLAME Mobile With Reliance JIO Free Internet for 90 days Offer #LYF15 #mobileshopping #reliancejio  https://t.co/njy3JEz9qf",Reliance,NULL,NULL,"2017-03-22 21:00:01",1490526654
sharebossindia,"Airtel  vs Reliance Jio: Ookla stands by network speed test, admits some limitations.. https://t.co/cPe6Vc07fU",Reliance,NULL,NULL,"2017-03-22 20:37:44",1490526654
broadbandforum,"Reliance Jio JioLink Indoor WiFi Plans and Preview Offer https://t.co/7ivEhS0I8d",Reliance,NULL,NULL,"2017-03-22 20:32:09",1490526654
Itstanujmehra,"RT @timesofindia: Airtel, Reliance Jio accuse each other of misleading customers on speed test https://t.co/jjlEyxXpkr via @gadgetsnow http…",Reliance,NULL,NULL,"2017-03-22 20:29:19",1490526654
BUREAUCRACY_IND,"Nokia said that it has provided its optical core and metro solution for Reliance Jio pan-India 4G LTE network to... https://t.co/8io0ndWkQ6",Reliance,NULL,NULL,"2017-03-22 20:24:46",1490526655
TechObservor,"Nokia helps Reliance Jio to manage massive traffic growth, with one of the biggest 100G deployment in the world… https://t.co/r6WpctVTIN",Reliance,NULL,NULL,"2017-03-22 20:24:32",1490526655
awesummly,"Ookla counters #RelianceJio, defends speed test result
https://t.co/aaEul2oSea
#technology #news https://t.co/fM3cM5uqcH",Reliance,NULL,NULL,"2017-03-22 20:17:44",1490526655
carlesdijous,"Ookla counters Reliance Jio, defends speed test result https://t.co/Q4g5oUrfCC https://t.co/hHrzCylmue",Reliance,NULL,NULL,"2017-03-22 20:16:05",1490526655
sagarguptadelhi,"Ookla counters Reliance Jio, defends speed test result https://t.co/OFhiOJbrGI",Reliance,NULL,NULL,"2017-03-22 20:14:12",1490526655
vishalfast007,"Ookla counters Reliance Jio, defends speed test result https://t.co/WnLwiYH8wS",Reliance,NULL,NULL,"2017-03-22 20:11:24",1490526655
hellodigitigi,"Ookla counters Reliance Jio, defends speed test result https://t.co/teaohRiwUM",Reliance,NULL,NULL,"2017-03-22 20:08:22",1490526655
abhi_malik,"RT @TelecomTalk: Reliance Jio Consumers Feel that Voice Calling is Superior than the Rivals: Bank of America Merrill Lynch report https://t…",Reliance,NULL,NULL,"2017-03-22 20:08:19",1490526656
PranayGangwar,"Retweeted Reliance Jio (@reliancejio):

What's the Jio Prime @ ₹99 membership? What's the ₹303 recharge?
Know now... https://t.co/AZ2HMDfPs7",Reliance,NULL,NULL,"2017-03-22 20:02:55",1490526656
moomblr,"Reliance Jio effect: BSNL to offer 2GB data per day at Rs 339 – BGR India https://t.co/IHnlmOdloo",Reliance,NULL,NULL,"2017-03-22 19:25:28",1490526656
wn24in,"82% users willing to continue with Reliance Jio post free offers, indicates survey https://t.co/VSEsS3020q https://t.co/GeDwUWltEF",Reliance,NULL,NULL,"2017-03-22 19:21:33",1490526657
OptionsTip,"New post: RPower promoter group entity sells shares worth Rs 858 crore https://t.co/8zenLRPGOJ",Reliance,NULL,NULL,"2017-03-22 19:18:11",1490526657
tnwtweet,"Reliance Jio vs Airtel: Jio says Ookla has admitted to ‘limitations’ in its methodology —… https://t.co/3VzcsmbnKp https://t.co/2dpbnW4NZq",Reliance,NULL,NULL,"2017-03-22 19:17:54",1490526657
OptionsTip,"New post: RPower promoter group entity sells shares worth Rs 858 crore https://t.co/VCjKWv0RAU",Reliance,NULL,NULL,"2017-03-22 19:16:17",1490526657
tanusaaha,"@VodafoneIN 

Is there any plan from you or @idea_cares like Reliance Jio 303 - unlimited internet ?",Reliance,NULL,NULL,"2017-03-22 19:07:11",1490526657
mannuforall,"Reliance Jio Consumers Feel that Voice Calling is Superior than the Rivals: Bank of America Merrill Lynch report https://t.co/be1HRl2dpb",Reliance,NULL,NULL,"2017-03-22 19:05:04",1490526657
pranavgulabani,"@Sharmaanay in india their first trade should be RCom?",Reliance,NULL,NULL,"2017-03-22 18:59:29",1490526657
bfsi_financial,"#BankofAmericaMerrillLynch  84% of Reliance Jio users willing to subscribe to Prime members... Read more: https://t.co/obD320H0aM",Reliance,NULL,NULL,"2017-03-22 18:57:50",1490526657
mohitsmartlove,"RT @timesofindia: Airtel, Reliance Jio accuse each other of misleading customers on speed test https://t.co/jjlEyxXpkr via @gadgetsnow http…",Reliance,NULL,NULL,"2017-03-22 18:57:22",1490526657
bfsi_financial,"#BankofAmericaMerrillLynch 84% of Reliance Jio users willing to subscribe to Prime membersh... Read more: https://t.co/6uQGSMbObf",Reliance,NULL,NULL,"2017-03-22 18:57:13",1490526657
bfsi_financial,"#BankofAmericaMerrillLynch Around 84% Reliance Jio Users Willing To Take Prime Offer: Report. Read more: https://t.co/wY8vmOLuPV",Reliance,NULL,NULL,"2017-03-22 18:55:59",1490526658
bfsi_financial,"#BankofAmericaMerrillLynch 84% Reliance Jio users willing to take Prime membership, says su... Read more: https://t.co/RN4LHd3yBg",Reliance,NULL,NULL,"2017-03-22 18:55:22",1490526658
ajanardhanan,"RPower promoter group entity sells shares worth Rs 858 crore https://t.co/RZ9XfMfPbp via @ajanardhanan #nifty https://t.co/RsJObG7Can",Reliance,NULL,NULL,"2017-03-22 18:42:25",1490526658
dp_bugger,"Speed war @airtelindia vs @reliancejio . @Speedtest clarifies. https://t.co/RUfw0jHKwY",Reliance,NULL,NULL,"2017-03-22 18:33:01",1490526658
TradeviserIn,"#RCOM gets #CCI approval with #Aircel
#tradeviser",Reliance,NULL,NULL,"2017-03-22 18:33:00",1490526658
thinkGadgetsme,"84% of Reliance Jio users willing to subscribe to Prime membership: Bank of America survey https://t.co/rUCJCfE4Gj #tech #feedly",Reliance,NULL,NULL,"2017-03-22 18:30:28",1490526658
Clickn_ask,"Reliance jio 4G VoLTE Feature Phone Coming Soon At Rs.999 Only #Jio #Clickn_ask
https://t.co/FwF1JHCzs7 https://t.co/nqWlvezRlh",Reliance,NULL,NULL,"2017-03-22 18:30:17",1490526658
KaranPawar_info,"#RelianceJio partners with #Ciena  to deliver high-bandwidth #4G services
 https://t.co/ltzMv4kXLE @reliancejio @enjoyGLOBE @flameoftruth",Reliance,NULL,NULL,"2017-03-22 18:27:46",1490526658
swayamsagar,"Reminds me of certain RPower! https://t.co/V26MyXjc1V",Reliance,NULL,NULL,"2017-03-22 18:26:20",1490526658
Nitucuteboy,"Reliance Jio vs Airtel: Jio says Ookla has admitted to 'limitations' in its methodology | Gadgets Now https://t.co/7txFdXnYXA",Reliance,NULL,NULL,"2017-03-22 18:23:24",1490526658
