time,username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date
1489917267,kanchanlata8181,"RT @up100: Tata Consultancy Services (TCS) Officers  visiting at ""UP-100"" Bhawan Lucknow @uppolice @anilarch https://t.co/JDQ3ot0IOv",TCS,NULL,NULL,3/13/2017 0:58
1489917267,BanerjiSougata,RT @TataCompanies: .@TCS's Yogesh Chauhan on how the company is using technology to create a sustainable world https://t.co/STXzx0N4Ij http…,TCS,NULL,NULL,3/13/2017 1:02
1489917267,NewsBossIndia,Tata Consultancy Services: A permanent solution needed to address rising cash pile.. https://t.co/MchShYmQNF,TCS,NULL,NULL,3/13/2017 1:03
1489917267,SagarYogendra,RT @AnilLingutla: I work with @h1b scam artists all the time. Mostly from @tcs @Infosys @Cognizant @Wipro @hcltech. Highly skilled professi…,TCS,NULL,NULL,3/13/2017 1:45
1489917267,SagarYogendra,"@AnilLingutla @h1b @TCS @Infosys @Cognizant @Wipro @hcltech i knew one who did not know what A drive was, how to access.",TCS,NULL,NULL,3/13/2017 1:47
1489917267,iiirshu,If you are planning to shift your house visit https://t.co/mXIOg8zpgR @VidyutJammwal @iamsrk @TCS @Infosys @Wipro @TOIDelhi @ShriHariPackers,TCS,NULL,NULL,3/13/2017 1:53
1489917265,SagarYogendra,RT @AnilLingutla: @POTUS look @ where #h1b gets trained. @tcs @Cognizant @Wipro @hcltech @Infosys hires and boards them on #AirIndia to tak…,TCS,NULL,NULL,3/13/2017 1:56
1489917265,SagarYogendra,RT @AnilLingutla: @POTUS #stopH1b Thousands of lowtalented #h1b s @tcs @Cognizant @Wipro @hcltech @Infosys will start landing&amp; replace us.…,TCS,NULL,NULL,3/13/2017 1:57
1489917265,SagarYogendra,RT @AnilLingutla: @POTUS All executives involved in #h1b fraud @tcs @Infosys @Cognizant @Wipro @hcltech must be investigated by @Interior f…,TCS,NULL,NULL,3/13/2017 2:06
1489917265,SagarYogendra,RT @AnilLingutla: @POTUS  @Interior Investigate #h1bvisa abuse @tcs @Infosys @Cognizant @Wipro @hcltech END #modernslavery Deport all Execu…,TCS,NULL,NULL,3/13/2017 2:07
1489917265,SagarYogendra,RT @AnilLingutla: @POTUS @Interior Investigate Deport all executives @tcs @Cognizant @Wipro @hcltech under #h1bvisa abusive program. Massiv…,TCS,NULL,NULL,3/13/2017 2:07
1489917265,SagarYogendra,RT @AnilLingutla: @realDonaldTrump @POTUS @uscis @tcs @Cognizant @Wipro Next round of 80k #h1bvisa will be filed next month. Pimping is leg…,TCS,NULL,NULL,3/13/2017 2:08
